datetime,elapsed_sec,pressure_bar,temperature_c
1/23/19 12:45,437400,1.375,34.532
1/23/19 13:00,438300,1.375,34.532
1/23/19 13:15,439200,1.375,34.532
1/23/19 13:30,440100,1.375,34.532
1/23/19 13:45,441000,1.375,34.532
1/23/19 14:00,441900,1.375,34.532
1/23/19 14:15,442800,1.375,34.532
1/23/19 14:30,443700,1.375,34.532
1/23/19 14:45,444600,1.375,34.532
1/23/19 15:00,445500,1.375,34.532
1/23/19 15:15,446400,1.375,34.532
1/23/19 15:30,447300,1.375,34.532
1/23/19 15:45,448200,1.375,34.532
1/23/19 16:00,449100,1.375,34.58
1/23/19 16:15,450000,1.376,34.532
1/23/19 16:30,450900,1.375,34.532
1/23/19 16:45,451800,1.375,34.532
1/23/19 17:00,452700,1.376,34.532
1/23/19 17:15,453600,1.376,34.532
1/23/19 17:30,454500,1.376,34.532
1/23/19 17:45,455400,1.376,34.532
1/23/19 18:00,456300,1.376,34.532
1/23/19 18:15,457200,1.376,34.532
1/23/19 18:30,458100,1.376,34.532
1/23/19 18:45,459000,1.376,34.532
1/23/19 19:00,459900,1.376,34.532
1/23/19 19:15,460800,1.376,34.532
1/23/19 19:30,461700,1.376,34.532
1/23/19 19:45,462600,1.376,34.532
1/23/19 20:00,463500,1.376,34.532
1/23/19 20:15,464400,1.376,34.532
1/23/19 20:30,465300,1.377,34.532
1/23/19 20:45,466200,1.377,34.532
1/23/19 21:00,467100,1.376,34.532
1/23/19 21:15,468000,1.377,34.532
1/23/19 21:30,468900,1.377,34.532
1/23/19 21:45,469800,1.377,34.532
1/23/19 22:00,470700,1.377,34.532
1/23/19 22:15,471600,1.376,34.532
1/23/19 22:30,472500,1.377,34.532
1/23/19 22:45,473400,1.376,34.532
1/23/19 23:00,474300,1.377,34.58
1/23/19 23:15,475200,1.376,34.532
1/23/19 23:30,476100,1.376,34.532
1/23/19 23:45,477000,1.376,34.532
1/24/19 00:00,477900,1.376,34.532
1/24/19 00:15,478800,1.376,34.532
1/24/19 00:30,479700,1.376,34.532
1/24/19 00:45,480600,1.376,34.532
1/24/19 01:00,481500,1.376,34.532
1/24/19 01:15,482400,1.376,34.58
1/24/19 01:30,483300,1.376,34.58
1/24/19 01:45,484200,1.376,34.532
1/24/19 02:00,485100,1.376,34.532
1/24/19 02:15,486000,1.376,34.532
1/24/19 02:30,486900,1.376,34.532
1/24/19 02:45,487800,1.376,34.532
1/24/19 03:00,488700,1.376,34.58
1/24/19 03:15,489600,1.376,34.532
1/24/19 03:30,490500,1.376,34.532
1/24/19 03:45,491400,1.377,34.532
1/24/19 04:00,492300,1.377,34.532
1/24/19 04:15,493200,1.377,34.532
1/24/19 04:30,494100,1.377,34.532
1/24/19 04:45,495000,1.377,34.532
1/24/19 05:00,495900,1.377,34.532
1/24/19 05:15,496800,1.378,34.532
1/24/19 05:30,497700,1.378,34.532
1/24/19 05:45,498600,1.378,34.532
1/24/19 06:00,499500,1.378,34.532
1/24/19 06:15,500400,1.378,34.532
1/24/19 06:30,501300,1.378,34.532
1/24/19 06:45,502200,1.379,34.532
1/24/19 07:00,503100,1.379,34.532
1/24/19 07:15,504000,1.379,34.532
1/24/19 07:30,504900,1.379,34.532
1/24/19 07:45,505800,1.379,34.532
1/24/19 08:00,506700,1.379,34.58
1/24/19 08:15,507600,1.379,34.532
1/24/19 08:30,508500,1.379,34.532
1/24/19 08:45,509400,1.379,34.532
1/24/19 09:00,510300,1.379,34.532
1/24/19 09:15,511200,1.379,34.532
1/24/19 09:30,512100,1.38,34.532
1/24/19 09:45,513000,1.379,34.532
1/24/19 10:00,513900,1.379,34.532
1/24/19 10:15,514800,1.379,34.532
1/24/19 10:30,515700,1.379,34.532
1/24/19 10:45,516600,1.379,34.532
1/24/19 11:00,517500,1.378,34.532
1/24/19 11:15,518400,1.378,34.532
1/24/19 11:30,519300,1.379,34.532
1/24/19 11:45,520200,1.378,34.532
1/24/19 12:00,521100,1.378,34.532
1/24/19 12:15,522000,1.378,34.532
1/24/19 12:30,522900,1.378,34.532
1/24/19 12:45,523800,1.378,34.532
1/24/19 13:00,524700,1.378,34.532
1/24/19 13:15,525600,1.377,34.532
1/24/19 13:30,526500,1.377,34.532
1/24/19 13:45,527400,1.377,34.532
1/24/19 14:00,528300,1.377,34.532
1/24/19 14:15,529200,1.377,34.532
1/24/19 14:30,530100,1.377,34.58
1/24/19 14:45,531000,1.377,34.532
1/24/19 15:00,531900,1.377,34.532
1/24/19 15:15,532800,1.377,34.532
1/24/19 15:30,533700,1.377,34.58
1/24/19 15:45,534600,1.377,34.532
1/24/19 16:00,535500,1.377,34.532
1/24/19 16:15,536400,1.378,34.532
1/24/19 16:30,537300,1.377,34.532
1/24/19 16:45,538200,1.378,34.532
1/24/19 17:00,539100,1.378,34.532
1/24/19 17:15,540000,1.378,34.532
1/24/19 17:30,540900,1.378,34.485
1/24/19 17:45,541800,1.378,34.532
1/24/19 18:00,542700,1.378,34.532
1/24/19 18:15,543600,1.378,34.532
1/24/19 18:30,544500,1.378,34.532
1/24/19 18:45,545400,1.378,34.532
1/24/19 19:00,546300,1.378,34.532
1/24/19 19:15,547200,1.378,34.58
1/24/19 19:30,548100,1.379,34.532
1/24/19 19:45,549000,1.379,34.532
1/24/19 20:00,549900,1.379,34.532
1/24/19 20:15,550800,1.379,34.532
1/24/19 20:30,551700,1.379,34.532
1/24/19 20:45,552600,1.379,34.532
1/24/19 21:00,553500,1.379,34.532
1/24/19 21:15,554400,1.379,34.532
1/24/19 21:30,555300,1.379,34.532
1/24/19 21:45,556200,1.379,34.532
1/24/19 22:00,557100,1.379,34.532
1/24/19 22:15,558000,1.379,34.532
1/24/19 22:30,558900,1.379,34.532
1/24/19 22:45,559800,1.378,34.532
1/24/19 23:00,560700,1.379,34.532
1/24/19 23:15,561600,1.378,34.532
1/24/19 23:30,562500,1.378,34.532
1/24/19 23:45,563400,1.378,34.532
1/25/19 00:00,564300,1.378,34.532
1/25/19 00:15,565200,1.378,34.532
1/25/19 00:30,566100,1.378,34.532
1/25/19 00:45,567000,1.378,34.532
1/25/19 01:00,567900,1.378,34.532
1/25/19 01:15,568800,1.377,34.532
1/25/19 01:30,569700,1.378,34.532
1/25/19 01:45,570600,1.377,34.532
1/25/19 02:00,571500,1.377,34.532
1/25/19 02:15,572400,1.378,34.532
1/25/19 02:30,573300,1.377,34.532
1/25/19 02:45,574200,1.378,34.532
1/25/19 03:00,575100,1.377,34.532
1/25/19 03:15,576000,1.378,34.532
1/25/19 03:30,576900,1.377,34.532
1/25/19 03:45,577800,1.377,34.532
1/25/19 04:00,578700,1.377,34.58
1/25/19 04:15,579600,1.378,34.532
1/25/19 04:30,580500,1.378,34.532
1/25/19 04:45,581400,1.378,34.532
1/25/19 05:00,582300,1.378,34.532
1/25/19 05:15,583200,1.378,34.532
1/25/19 05:30,584100,1.378,34.532
1/25/19 05:45,585000,1.378,34.532
1/25/19 06:00,585900,1.379,34.532
1/25/19 06:15,586800,1.378,34.532
1/25/19 06:30,587700,1.379,34.532
1/25/19 06:45,588600,1.379,34.532
1/25/19 07:00,589500,1.379,34.58
1/25/19 07:15,590400,1.379,34.532
1/25/19 07:30,591300,1.379,34.532
1/25/19 07:45,592200,1.379,34.532
1/25/19 08:00,593100,1.379,34.532
1/25/19 08:15,594000,1.379,34.532
